state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL
AK,2020-03-23,78.05263157894736,61.53366194114196,94.57160121675275,0.05357142857142857,0.041780438923125274,0.06536241821973186
AK,2020-03-24,78.05263157894736,61.53366194114196,94.57160121675275,0.05357142857142857,0.041780438923125274,0.06536241821973186
AK,2020-03-25,26.017543859649116,16.302030852995472,35.73305686630276,0.017857142857142856,0.010922357225765655,0.024791928488520056
AK,2020-03-26,52.03508771929823,38.420757807496905,65.64941763109957,0.03571428571428571,0.02599658378866114,0.045431987639910285
AK,2020-03-27,18.085365853658534,10.033978949840199,26.136752757476867,0.012345679012345678,0.00652784407862899,0.018163513946062367
AK,2020-03-30,95.29317269076304,78.39866311976635,112.18768226175975,0.06299212598425197,0.04957078037245824,0.0764134715960457
AK,2020-03-31,119.16964285714288,100.24600334687923,138.09328236740652,0.07860262008733625,0.0639001104699472,0.09330512970472529
AK,2020-04-01,57.64310954063605,44.544482470076055,70.74173661119605,0.04247104247104247,0.03054404291837684,0.0543980420237081
AK,2020-04-02,63.10638297872341,49.69363337480407,76.51913258264275,0.046357615894039736,0.03369565513649769,0.05901957665158178
AK,2020-04-03,63.10638297872341,49.69363337480407,76.51913258264275,0.046357615894039736,0.03369565513649769,0.05901957665158178
AK,2020-04-04,13.123893805309736,6.619085565163516,19.628702045455956,0.009852216748768473,0.004091034395471878,0.015613399102065068
AK,2020-04-05,6.561946902654868,1.9509253053417508,11.172968499967984,0.0049261083743842365,0.000842216078657981,0.009010000670110492
AK,2020-04-06,13.522796352583587,7.196438171584334,19.84915453358284,0.009933774834437087,0.003961539357636685,0.01590601031123749
AK,2020-04-07,13.522796352583587,7.196438171584334,19.84915453358284,0.009933774834437087,0.003961539357636685,0.01590601031123749
AK,2020-04-08,32.50410958904109,24.632694286520973,40.37552489156121,0.02275960170697013,0.011904712735894375,0.03361449067804588
AK,2020-04-09,22.537993920972646,14.398061822043774,30.67792601990152,0.016556291390728478,0.008871998173506495,0.024240584607950463
AK,2020-04-10,18.030395136778118,10.73757197152861,25.323218302027623,0.013245033112582781,0.006360431263078358,0.020129634962087205
AK,2020-04-11,0.0,0.0,0.0,0.0,0.0,0.0
AK,2020-04-12,0.0,0.0,0.0,0.0,0.0,0.0
AK,2020-04-13,0.0,0.0,0.0,0.0,0.0,0.0
AK,2020-04-14,5.122625215889466,1.6653989133760148,8.579851518402915,0.0036231884057971015,-0.0003882383231436919,0.007634615134737895
